Pfam keyword	Pfam term
MNHE	Na+/H+ ion antiporter subunit
CHD5	CHD5-like protein
RXT2	RXT2-like, N-terminal
Vac7	Vacuolar segregation subunit 7
DUF1676	Protein of unknown function (DUF1676)
DUF1677	Protein of unknown function (DUF1677)
DUF1674	Protein of unknown function (DUF1674)
DUF1675	Protein of unknown function (DUF1675)
DUF1672	Protein of unknown function (DUF1672)
DUF1673	Protein of unknown function (DUF1673)
DUF1670	Protein of unknown function (DUF1670)
DUF1678	Protein of unknown function (DUF1678)
DUF1679	Protein of unknown function (DUF1679)
NPCC	Nuclear pore complex component
MASE2	MASE2 domain
MASE1	MASE1
VacJ	VacJ like lipoprotein
UL97	UL97
DAG1	Dystroglycan (Dystrophin-associated glycoprotein 1)
VacA	Vacuolating cyotoxin
Mss4	Mss4 protein
DUF276	DUF276 
DUF272	Protein of unknown function (DUF272)
DUF273	Protein of unknown function, DUF273
DUF1904	Domain of unknown function (DUF1904)
DUF1453	Protein of unknown function (DUF1453)
DUF1450	Protein of unknown function (DUF1450)
DUF1451	Protein of unknown function (DUF1451)
DUF1456	Protein of unknown function (DUF1456)
DUF1454	Protein of unknown function (DUF1454)
Fes1	Nucleotide exchange factor Fes1
DUF1459	Protein of unknown function (DUF1459)
DUF1908	Domain of unknown function (DUF1908)
S6PP	Sucrose-6F-phosphate phosphohydrolase|Sucrose-6-phosphate phosphohydrolase C-terminal
YfcL	YfcL protein
TRIC	TRIC channel
MitoNEET	Iron-containing outer mitochondrial membrane protein N-terminus  
FIVAR	Uncharacterised Sugar-binding Domain
EDR1	Ethylene-responsive protein kinase Le-CTR1
DEP	Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)
FeS	Putative Fe-S cluster
TonB	Gram-negative bacterial tonB protein
SLAP	Bacterial surface layer protein
PA26	PA26 p53-induced protein (sestrin)
SLAM	Signaling lymphocytic activation molecule (SLAM) protein
End3	Actin cytoskeleton-regulatory complex protein END3
NUDIX	NUDIX domain|NADH pyrophosphatase-like rudimentary NUDIX domain
GbpC	Glucan-binding protein C
SpdB	Mobile element transfer protein
GWT1	GWT1
TMA7	Translation machinery associated TMA7
BamHI	Restriction endonuclease BamHI
TRI12	Fungal trichothecene efflux pump (TRI12)
DUF2109	Predicted membrane protein (DUF2109)
DUF2108	Predicted membrane protein (DUF2108)
CopB	Copper resistance protein B precursor (CopB)
GLTP	Glycolipid transfer protein (GLTP)
DUF2101	Predicted membrane protein (DUF2101)
DUF2100	Uncharacterized protein conserved in archaea (DUF2100)
DUF2103	Predicted metal-binding protein (DUF2103)
DUF2102	Uncharacterized protein conserved in archaea (DUF2102)
DUF2105	Predicted membrane protein (DUF2105)
DUF2104	Predicted membrane protein (DUF2104)
DUF2107	Predicted membrane protein (DUF2107)
DUF2106	Predicted membrane protein (DUF2106)
MelC1	Tyrosinase co-factor MelC1
GLTT	GLTT repeat (6 copies)
EVI2A	Ectropic viral integration site 2A protein (EVI2A)
HPIH	N-terminal domain with HPIH motif
Med30	Mediator complex subunit 30
Med31	SOH1
Opi1	Transcription factor Opi1
SBF2	Myotubularin protein 
AIP3	Actin interacting protein 3
WVELL	WVELL protein
CDC73	RNA pol II accessory factor, Cdc73 family
RAMP	Receptor activity modifying family 
Utp11	Utp11 protein
DUF3506	Domain of unknown function (DUF3506)
DUF3507	Domain of unknown function (DUF3507)
DUF3504	Domain of unknown function (DUF3504)
DUF3505	Protein of unknown function (DUF3505)
DUF3502	Domain of unknown function (DUF3502)
DUF3503	Domain of unknown function (DUF3503)
DUF3500	Protein of unknown function (DUF3500)
DUF3501	Protein of unknown function (DUF3501)
DUF3508	Domain of unknown function (DUF3508)
DUF3509	Protein of unknown function (DUF3509)
DUF2451	Protein of unknown function C-terminus (DUF2451)
Thy1	Thymidylate synthase complementing protein
TSGP1	Tick salivary peptide group 1
Thg1	tRNAHis guanylyltransferase
DUF3762	Protein of unknown function (DUF3762)
DUF3763	Protein of unknown function (DUF3763)
DUF3760	Protein of unknown function (DUF3760)
DUF3761	Protein of unknown function (DUF3761)
DUF3766	Protein of unknown function (DUF3766)
DUF3767	Protein of unknown function (DUF3767)
DUF3764	Protein of unknown function (DUF3764)
DUF3768	Protein of unknown function (DUF3768)
DUF3769	Protein of unknown function (DUF3769)
AIPR	AIPR protein
DUF4231	Protein of unknown function (DUF4231)
DUF4230	Protein of unknown function (DUF4230)
DUF4233	Protein of unknown function (DUF4233)
DUF4232	Protein of unknown function (DUF4232)
DUF4235	Protein of unknown function (DUF4235)
DUF4234	Domain of unknown function (DUF4234)
DUF4237	Protein of unknown function (DUF4237)
DUF4236	Protein of unknown function (DUF4236)
DUF4239	Protein of unknown function (DUF4239)
DUF4238	Protein of unknown function (DUF4238)
BSMAP	Brain specific membrane anchored protein
ScdA	Domain of Unknown function (DUF542)  
M3	M3
TruB	tRNA Pseudouridine synthase II, C terminal|TruB family pseudouridylate synthase (N terminal domain)
TruD	tRNA pseudouridine synthase D (TruD)
UVR	UvrB/uvrC motif
CDC48	Cell division protein 48 (CDC48), N-terminal domain
RcbX	RbcX protein
JHBP	Haemolymph juvenile hormone binding protein (JHBP)
BRF1	Brf1-like TBP-binding domain
