Pfam keyword	Pfam term
DUF1246	Protein of unknown function (DUF1246)
DUF1244	Protein of unknown function (DUF1244)
DmsC	DMSO reductase anchor subunit (DmsC)
Snurportin1	Snurportin1
NACHT	NACHT domain
PaO	Pheophorbide a oxygenase
SNURF	SNURF/RPN4 protein
FAINT	Domain of unknown function, DUF529
CP12	CP12 domain
TraE	TraE protein
TraD	Conjugal transfer protein TraD|F sex factor protein N terminal
TraG	TraG-like protein, N-terminal region
TraF	F plasmid transfer operon protein
TraA	TraA
TraC	TraC-like protein
TraB	TraB family
TraL	TraL protein
TraO	Conjugative transposon protein TraO
TraN	Type-1V conjugative transfer system mating pair stabilisation
TraI	DNA helicase TraI
TraH	Conjugative relaxosome accessory transposon protein
TraK	TraK protein
TraU	TraU protein
TraT	Enterobacterial TraT complement resistance protein
TraW	Sex factor F TraW protein N terminal
TraV	Type IV conjugative transfer system lipoprotein (TraV)
TraQ	Type-F conjugative transfer system pilin chaperone (TraQ)
TraP	TraP protein
TraS	Plasmid conjugative transfer entry exclusion protein TraS
MDMPI	MDMPI C-terminal domain|Mycothiol maleylpyruvate isomerase N-terminal domain
MpPF26	M penetrans paralogue family 26
TraY	TraY domain
TraX	TraX protein
DHHC	DHHC palmitoyltransferase
YorP	YorP protein
OstA	OstA-like protein|Organic solvent tolerance protein
LACT	Lecithin:cholesterol acyltransferase
BESS	BESS motif
GMAP	Galanin message associated peptide (GMAP)
DHHW	DHHW protein
Maf1	Maf1 regulator
RMMBL	RNA-metabolising metallo-beta-lactamase
DUF624	Protein of unknown function, DUF624
DUF627	Protein of unknown function (DUF627)
DUF626	Protein of unknown function (DUF626)
DUF621	Protein of unknown function (DUF621)
DUF620	Protein of unknown function (DUF620)
DUF629	Protein of unknown function (DUF629)
DUF2264	Uncharacterized protein conserved in bacteria (DUF2264)
DUF2265	Predicted aminopeptidase (DUF2265)
DUF2267	Uncharacterized conserved protein (DUF2267)
DUF2260	Uncharacterized conserved protein (DUF2260)
DUF2262	Uncharacterized protein conserved in bacteria (DUF2262)
DUF2263	Uncharacterized protein conserved in bacteria (DUF2263)
Swi3	Replication Fork Protection Component Swi3
DUF2268	Predicted Zn-dependent protease (DUF2268)
DUF2269	Predicted integral membrane protein (DUF2269)
GAPT	GRB2-binding adapter (GAPT)
TadE	TadE-like protein
DUF3249	Protein of unknown function (DUF3249)
DUF3248	Protein of unknown function (DUF3248)
N2227	N2227-like protein
DUF3245	Protein of unknown function (DUF3245)
DUF3244	Domain of unknown function (DUF3244)
DUF3247	Protein of unknown function (DUF3247)
DUF3246	Protein of unknown function (DUF3246)
DUF3240	Protein of unknown function (DUF3240)
DUF3243	Protein of unknown function (DUF3243)
DUF3242	Protein of unknown function (DUF3242)  
SHD1	SLA1 homology domain 1, SHD1 
Mlf1IP	Myelodysplasia-myeloid leukemia factor 1-interacting protein
Ost4	Oligosaccaryltransferase  
gerPA	Spore germination protein gerPA/gerPF
CARM1	Coactivator-associated arginine methyltransferase 1 N terminal
DOT1	Histone methylation protein DOT1 
AreA	Nitrogen regulatory protein AreA N terminus
TehB	Tellurite resistance protein TehB
EmrE	Multidrug resistance efflux transporter
HlyIII	Haemolysin-III related
BCIP	p21-C-terminal region-binding protein
Ecl1	Life-span regulatory factor
UPF0227	Uncharacterised protein family (UPF0227)
UPF0220	Uncharacterised protein family (UPF0220)
UPF0223	Uncharacterised protein family (UPF0223)
UPF0228	Uncharacterised protein family (UPF0228)
RPAP3	Potential Monad-binding region of RPAP3
RPAP1	RPAP1-like, C-terminal|RPAP1-like, N-terminal
DUF4048	Domain of unknown function (DUF4048)
DUF4049	Domain of unknown function (DUF4049)
DUF4042	Domain of unknown function (DUF4042)
DUF4043	Protein of unknown function (DUF4043)
DUF4040	Domain of unknown function (DUF4040)
DUF4041	Domain of unknown function (DUF4041)
DUF4046	Protein of unknown function (DUF4046)
DUF4047	Domain of unknown function (DUF4047)
DUF4044	Protein of unknown function (DUF4044)
DUF4045	Domain of unknown function (DUF4045)
PNTB	NAD(P) transhydrogenase beta subunit
UME	UME (NUC010) domain
OLF	Olfactomedin-like domain
SapA	Saposin A-type domain
SapC	SapC
NhaB	Bacterial Na+/H+ antiporter B (NhaB)
DPM3	Dolichol-phosphate mannosyltransferase subunit 3 (DPM3)
MethyltransfD12	D12 class N6 adenine-specific DNA methyltransferase
Nha1	Alkali metal cation/H+ antiporter Nha1 C terminus
IGFBP	Insulin-like growth factor binding protein
TAFII28	hTAFII28-like protein conserved region
TYW3	Methyltransferase TYW3
DUF1746	Fungal domain of unknown function (DUF1746)
DUF1744	Domain of unknown function (DUF1744)
DUF1742	Fungal protein of unknown function (DUF1742)
DUF1743	Domain of unknown function (DUF1743)
DUF1741	Domain of unknown function (DUF1741)
DUF1748	Fungal protein of unknown function (DUF1748)
DUF1749	Protein of unknown function (DUF1749)
PM0188	Sialyltransferase PMO188
HOOK	HOOK protein
COX8	Cytochrome oxidase c subunit VIII
MBD	Methyl-CpG binding domain|C-terminal domain of methyl-CpG binding protein 2 and 3
COX3	Cytochrome c oxidase subunit III
GAT	GAT domain
GAS	Growth-arrest specific micro-tubule binding
COX4	Cytochrome c oxidase subunit IV
DUF1522	Domain of Unknown Function (DUF1522)
DUF1523	Protein of unknown function (DUF1523)
MoeA	MoeA C-terminal region (domain IV)|MoeA N-terminal region (domain I and II)
DUF1521	Domain of Unknown Function (DUF1521)
DUF1524	Protein of unknown function (DUF1524)
DUF1525	Protein of unknown function (DUF1525)
MBT	mbt repeat
GAF	GAF domain
DUF1528	Protein of unknown function (DUF1528)
DUF1529	Domain of Unknown Function (DUF1259)
VESA1	Variant erythrocyte surface antigen-1
Involucrin2	Involucrin
COXG	Carbon monoxide dehydrogenase subunit G (CoxG)
DUF438	Family of unknown function (DUF438)
DUF432	Protein of unknown function (DUF432)
DUF433	Protein of unknown function (DUF433)
DUF434	Protein of unknown function (DUF434)
DUF898	Bacterial protein of unknown function (DUF898)
DUF436	Protein of unknown function (DUF436) 
DUF899	Bacterial protein of unknown function (DUF899)
PRA1	PRA1 family protein
HutP	HutP
EPTP	EPTP domain
HobA	DNA replication regulator
HutD	HutD
Vps26	Vacuolar protein sorting-associated protein 26 
VKOR	Vitamin K epoxide reductase family
Fea1	Low iron-inducible periplasmic protein
Gp23	Major capsid protein Gp23
DUF2079	Predicted membrane protein (DUF2079)
DUF2071	Uncharacterized conserved protein (COG2071)
DUF2070	Predicted membrane protein (DUF2070)
DUF2073	Uncharacterized protein conserved in archaea (DUF2073)
DUF2072	Zn-ribbon containing protein (DUF2072)
DUF2075	Uncharacterized conserved protein (DUF2075)
DUF2074	Predicted permease (DUF2074)
DUF2077	Uncharacterized protein conserved in bacteria (DUF2077)
DUF2076	Uncharacterized protein conserved in bacteria (DUF2076)
DUF3388	Protein of unknown function (DUF3388)
DUF3389	Protein of unknown function (DUF3389)
DUF3380	Protein of unknown function (DUF3380)
DUF3381	Domain of unknown function (DUF3381)
DUF3382	Domain of unknown function (DUF3382)
DUF3383	Protein of unknown function (DUF3383)
DUF3384	Domain of unknown function (DUF3384)
DUF3385	Domain of unknown function (DUF3385)
DUF3386	Protein of unknown function (DUF3386)
DUF3387	Domain of unknown function (DUF3387)
AfsA	A-factor biosynthesis hotdog domain
DUF1011	Protein of unknown function (DUF1011)
Tri3	15-O-acetyltransferase Tri3
DUF1540	Domain of Unknown Function (DUF1540)
CotH	CotH protein
DUF2383	Domain of unknown function (DUF2383)
DUF2382	Domain of unknown function (DUF2382)
DUF2381	Protein of unknown function (DUF2381)
DUF2380	Predicted lipoprotein of unknown function (DUF2380)
DUF2387	Probable metal-binding protein (DUF2387)
DUF1014	Protein of unknown function (DUF1014)
DUF2385	Protein of unknown function (DUF2385)
DUF2384	Protein of unknown function (DUF2384)
DUF2389	Tryptophan-rich protein (DUF2389)
DUF2388	Protein of unknown function (DUF2388)
DUF2471	Protein of unknown function (DUF2471) 
SpvB	Salmonella virulence plasmid 65kDa B protein
SpvD	Salmonella plasmid virulence protein SpvD
COBRA	COBRA-like protein
DUF940	Bacterial putative lipoprotein (DUF940)
RunxI	Runx inhibition domain
DUF3477	Protein of unknown function (DUF3477)
DUF3656	Collagenase 
DUF3657	Protein of unknown function (DUF3657) 
DUF3654	Protein of unknown function (DUF3654) 
DUF3655	Protein of unknown function (DUF3655) 
DUF3652	Huntingtin protein region 
DUF3653	Phage protein
DUF3650	Protein of unknown function (DUF3650) 
DUF3651	Protein of unknown function (DUF3651)
DUF3658	Protein of unknown function 
DUF3659	Protein of unknown function (DUF3659) 
DUF4385	Domain of unknown function (DUF4385)
DUF4384	Domain of unknown function (DUF4384)
DUF4387	Domain of unknown function (DUF4387)
DUF4386	Domain of unknown function (DUF4386)
DUF4381	Domain of unknown function (DUF4381)
DUF4380	Domain of unknown function (DUF4380)
DUF4383	Domain of unknown function (DUF4383)
DUF4382	Domain of unknown function (DUF4382)
RPE65	Retinal pigment epithelial membrane protein
DUF4389	Domain of unknown function (DUF4389)
DUF4388	Domain of unknown function (DUF4388)
DUF2927	Protein of unknown function (DUF2927)
DUF981	Protein of unknown function (DUF981)
DUF982	Protein of unknown function (DUF982)
DUF983	Protein of unknown function (DUF983)
DUF2922	Protein of unknown function (DUF2922)
DUF986	Protein of unknown function (DUF986)
DUF987	Protein of unknown function (DUF987)
DUF989	Protein of unknown function (DUF989)
DUF2929	Protein of unknown function (DUF2929)
Ssl1	Ssl1-like
Clp1	Pre-mRNA cleavage complex II protein Clp1
GRAS	GRAS family transcription factor
DUF3036	Protein of unknown function (DUF3036)
GRAM	GRAM domain
DUF3034	Protein of unknown function (DUF3034)
DUF3035	Protein of unknown function (DUF3035)
Stb3	Putative Sin3 binding protein
GRAB	GRIP-related Arf-binding domain 
DUF3039	Protein of unknown function (DUF3039)
DUF1010	Protein of unknown function (DUF1010)
CUT	CUT domain
ClpS	ATP-dependent Clp protease adaptor protein ClpS
GRA6	Granule antigen protein (GRA6)
DUF188	Uncharacterized BCR, YaiI/YqxD family COG1671
CUE	CUE domain
CUB	CUB domain
DUF187	Uncharacterised BCR, COG1649
DUF3992	Protein of unknown function (DUF3992)
MtlR	Mannitol repressor
Apc11	Anaphase-promoting complex subunit 11 RING-H2 finger
IL12p40	Cytokine interleukin-12p40 C-terminus
AAR2	AAR2 protein
SCP2	SCP-2 sterol transfer family
MNE1	Mitochondrial splicing apparatus component
HTHP	Hexameric tyrosine-coordinated heme protein (HTHP)
OprD	outer membrane porin, OprD family
Tom22	Mitochondrial import receptor subunit Tom22 
ChlI	Subunit ChlI of Mg-chelatase
SRP54	SRP54-type protein, GTPase domain|SRP54-type protein, helical bundle domain
HJURP	Holliday junction regulator protein family C-terminal repeat
Alb1	Alb1
UDPGP	UTP--glucose-1-phosphate uridylyltransferase
RyR	RyR domain
UDPGT	UDP-glucoronosyl and UDP-glucosyl transferase
Swi5	Swi5
Trm56	tRNA ribose 2'-O-methyltransferase, aTrm56
DUF1015	Protein of unknown function (DUF1015)
ThuA	Trehalose utilisation
FbpA	Fibronectin-binding protein A N-terminus (FbpA)
SCPU	Spore Coat Protein U domain
GDNF	GDNF/GAS1 domain
DUF1265	Protein of unknown function (DUF1265)
DUF1264	Protein of unknown function (DUF1264)
DUF1266	Protein of unknown function (DUF1266)
DUF1260	Protein of unknown function (DUF1260)
DUF1263	Protein of unknown function (DUF1263)
DUF1262	Protein of unknown function (DUF1262)
L71	L71 family
DUF1269	Protein of unknown function (DUF1269)
DUF1268	Protein of unknown function (DUF1268)
CD225	Interferon-induced transmembrane protein
G5	G5 domain
G8	G8 domain
GlgS	Glycogen synthesis protein
PcF	Phytotoxin PcF protein
CHASE	CHASE domain
IceA2	Helicobacter pylori IceA2 protein
Cse1	Cse1
GA	GA module
Slu7	Pre-mRNA splicing Prp18-interacting factor
SUA5	Putative GTP-binding controlling metal-binding
CD99L2	CD99 antigen like protein 2
DUF608	Protein of unknown function, DUF608
DUF607	Protein of unknown function, DUF607
DUF606	Protein of unknown function, DUF606
DUF605	Vta1 like
DUF604	Protein of unknown function, DUF604
DUF603	Protein of unknown function, DUF603
Z1	Z1 domain
DUF601	Protein of unknown function, DUF601
DUF600	Protein of unknown function, DUF600
DUF2718	Protein of unknown function (DUF2718)
DUF2719	Protein of unknown function (DUF2719)
DUF2248	Uncharacterized protein conserved in bacteria (DUF2248)
DUF2249	Uncharacterized conserved protein (DUF2249)
DUF2246	Uncharacterized conserved protein (DUF2246)
DUF2247	Uncharacterized protein conserved in bacteria (DUF2247)
DUF2244	Integral membrane protein (DUF2244)
DUF2717	Protein of unknown function (DUF2717)
DUF2242	Uncharacterized protein conserved in bacteria (DUF2242)
DUF2243	Predicted membrane protein (DUF2243)
DUF2240	Uncharacterized protein conserved in archaea (DUF2240)
DUF2713	Protein of unknown function (DUF2713)
LTXXQ	LTXXQ motif family protein
ZZ	Zinc finger, ZZ type
GARS	Phosphoribosylglycinamide synthetase, C domain|Phosphoribosylglycinamide synthetase, N domain
MadL	Malonate transporter MadL subunit
MadM	Malonate/sodium symporter MadM subunit
GIT1	G protein-coupled receptor kinase-interacting protein 1 C term
GCFC	GC-rich sequence DNA-binding factor-like protein
NGP1NT	NGP1NT (NUC091) domain
CDtoxinA	Cytolethal distending toxin A/C family
AIG2	AIG2-like family
AIG1	AIG1 family
SpoIIID	Stage III sporulation protein D
MraZ	MraZ protein
BsuPI	Intracellular proteinase inhibitor
HpaB	4-hydroxyphenylacetate 3-hydroxylase C terminal|4-hydroxyphenylacetate 3-hydroxylase N terminal
Ten1	Telomere capping
HpaP	Type III secretion protein (HpaP)
MSV199	MSV199 domain
UPF0203	Uncharacterised protein family (UPF0203)
UPF0183	Uncharacterised protein family (UPF0183)
XhlA	Haemolysin XhlA
UXS1	UDP-glucuronate decarboxylase N-terminal
Paf1	Paf1 
PSCyt1	Planctomycete cytochrome C
PSCyt3	Protein of unknown function (DUF1588)
PSCyt2	Protein of unknown function (DUF1549)
DUF1720	Domain of unknown function (DUF1720)
DUF1722	Protein of unknown function (DUF1722)
DUF1891	Domain of unknown function (DUF1891)
DUF1724	Domain of unknown function (DUF1724)
DUF1725	Protein of unknown function (DUF1725)
DUF1726	Domain of unknown function (DUF1726)
DUF1727	Domain of unknown function (DUF1727)
DUF1729	Domain of unknown function (DUF1729)
DUF1898	Domain of unknown function (DUF1898)
DUF1899	Domain of unknown function (DUF1899)
Rif1	Rap1-interacting factor 1 N terminal
Tmp39	Putative transmembrane protein
RPN7	26S proteasome subunit RPN7
RanGAP1	RanGAP1 C-terminal domain
FCP1	FCP1, C-terminal
GIIM	Group II intron, maturase-specific domain
SAB	SAB domain
SAA	Serum amyloid A protein
SAG	SRS domain
SAF	SAF domain
DUF1098	Protein of unknown function (DUF1098)
DUF1092	Protein of unknown function (DUF1092)
DUF1093	Protein of unknown function (DUF1093)
DUF1090	Protein of unknown function (DUF1090)
DUF1091	Protein of unknown function (DUF1091)
DUF1096	Protein of unknown function (DUF1096)
DUF1097	Protein of unknown function (DUF1097)
Mog1	Ran-interacting Mog1 protein
DUF452	Protein of unknown function (DUF452)
DUF3605	Protein of unknown function (DUF3605)
DUF456	Protein of unknown function (DUF456)
CHU	C-terminal domain of CHU protein family
DUF454	Protein of unknown function (DUF454)
DUF455	Protein of unknown function (DUF455)
CHY	CHY zinc finger
CHZ	Histone chaperone domain CHZ
iPGM	BPG-independent PGAM N-terminus (iPGM_N)
JAB	JAB1/Mov34/MPN/PAD-1 ubiquitin protease
CTK3	CTD kinase subunit gamma CTK3|CTD kinase subunit gamma CTK3 C-terminus
Dor1	Dor1-like family 
DUF3353	Protein of unknown function (DUF3353)
DUF3352	Protein of unknown function (DUF3352)
TBPIP	Tat binding protein 1(TBP-1)-interacting protein (TBPIP)
AlphaC	Alpha C protein N terminal
NUMOD3	NUMOD3 motif (2 copies)
D123	D123
DBP	Duffy-antigen binding protein 
DUF3602	Protein of unknown function (DUF3602)
DivIC	Septum formation initiator
BT1	BT1 family
Rot1	Chaperone for protein-folding within the ER, fungal
PIP49	Pancreatitis induced protein 49 C terminal
YhhN	YhhN-like protein
SNARE	SNARE domain
NOZZLE	Plant transcription factor NOZZLE
YWTD	YWTD domain
MinC	Septum formation inhibitor MinC, C-terminal domain|Septum formation inhibitor MinC, N-terminal domain
FecR	FecR protein
GCK	GCK domain
EOS1	N-glycosylation protein
MinE	Septum formation topological specificity factor MinE
GCS	Glutamate-cysteine ligase
GCR	Glucocorticoid receptor
C3Hc3H	Potential DNA-binding domain
AFT	Transcription factor AFT
AFP	Insect antifreeze protein repeat
DUF2013	Protein of unknown function (DUF2013)
DUF2012	Protein of unknown function (DUF2012)
DUF2011	Fungal protein of unknown function (DUF2011)
DUF2017	Domain of unknown function (DUF2017)
BTP	Bacterial Transmembrane Pair family
DUF2015	Fungal protein of unknown function (DUF2015)
DUF2014	Domain of unknown function (DUF2014) 
DUF2019	Domain of unknown function (DUF2019)
DUF2018	Domain of unknown function (DUF2018)
CBAH	Linear amide C-N hydrolases, choloylglycine hydrolase family
HIRAN	HIRAN domain
BTD	Beta-trefoil DNA-binding domain
BTG	BTG family
BTB	BTB/POZ domain
MdcG	Phosphoribosyl-dephospho-CoA transferase MdcG
BTK	BTK motif
MdcE	Malonate decarboxylase gamma subunit (MdcE)
UPF0052	Uncharacterised protein family UPF0052
UPF0051	Uncharacterized protein family (UPF0051)
UPF0054	Uncharacterized protein family UPF0054
UPF0058	Uncharacterised protein family UPF0058
BpuJI	Restriction endonuclease BpuJI - N terminal
PRELI	PRELI-like family
DUF82	Protein of unknown function DUF82
DUF86	Protein of unknown function DUF86
DUF87	Domain of unknown function DUF87
DUF2093	Uncharacterized protein conserved in bacteria (DUF2093)
UTP15	UTP15 C terminal
DUF2540	Protein of unknown function (DUF2540)
Spt5	Spt5 transcription elongation factor, acidic N-terminal
Spt4	Spt4/RpoE2 zinc finger
DUF2542	Protein of unknown function (DUF2542) 
DUF2097	Uncharacterized protein conserved in archaea (DUF2097)
DUF2544	Protein of unknown function (DUF2544)
CBM27	Carbohydrate binding module 27
DUF2095	Uncharacterized protein conserved in archaea (DUF2095)
Ilm1	Increased loss of mitochondrial DNA protein 1
DUF3630	Protein of unknown function (DUF3630)
DUF3631	Protein of unknown function (DUF3631)
DUF3632	Protein of unknown function (DUF3632)
DUF3633	Protein of unknown function (DUF3633)
DUF3634	Protein of unknown function (DUF3634)
DUF3635	Domain of unknown function (DUF3635)
DUF3636	Protein of unknown function (DUF3636) 
DUF3637	Protein of unknown function (DUF3637) 
DUF3638	Protein of unknown function (DUF3638)
DUF3639	Protein of unknown function (DUF3639) 
UPF0262	Uncharacterised protein family (UPF0262)
H2C2	His(2)-Cys(2) zinc finger
DUF4369	Domain of unknown function (DUF4369)
DUF4368	Domain of unknown function (DUF4368)
DUF4367	Domain of unknown function (DUF4367)
DUF4366	Domain of unknown function (DUF4366)
DUF4365	Domain of unknown function (DUF4365)
DUF4364	Domain of unknown function (DUF4364)
DUF4363	Domain of unknown function (DUF4363)
DUF4362	Domain of unknown function (DUF4362)
DUF4361	Domain of unknown function (DUF4361)
DUF4360	Domain of unknown function (DUF4360)
hEGF	Human growth factor-like EGF
DUF2905	Protein of unknown function (DUF2905)
DUF2909	Protein of unknown function (DUF2909)
TniB	Bacterial TniB protein
GerA	Bacillus/Clostridium GerA spore germination protein
GerE	Bacterial regulatory proteins, luxR family
HSCB	HSCB C-terminal oligomerisation domain
AvrE	Pathogenicity factor
AvrD	Pseudomonas avirulence D protein (AvrD)
Sp100	Sp100 domain
TRC8	TRC8 N-terminal domain
ENTH	ENTH domain
CD36	CD36 family
SRCR	Scavenger receptor cysteine-rich domain
CpcD	CpcD/allophycocyanin linker domain
DUF1737	Domain of unknown function (DUF1737)
YbbR	YbbR-like protein
PSD3	Protein of unknown function (DUF1587)
PSD2	Protein of unknown function (DUF1585)
PSD1	Protein of unknown function (DUF1553)
PSD5	Protein of unknown function (DUF1595)
PSD4	Protein of unknown function (DUF1592)
Opy2	Opy2 protein
PSDC	Phophatidylserine decarboxylase 
COBRA1	Cofactor of BRCA1 (COBRA1)
PRMT5	PRMT5 arginine-N-methyltransferase
PTPS	6-pyruvoyl tetrahydropterin synthase
IgaA	Intracellular growth attenuator protein IgaA
DcuC	C4-dicarboxylate anaerobic carrier
UL40	Glycoprotein of human cytomegalovirus HHV-5
ChpXY	CO2 hydration protein (ChpXY)
DUF1289	Protein of unknown function (DUF1289)
DUF1287	Domain of unknown function (DUF1287)
DUF1286	Protein of unknown function (DUF1286)
DUF1285	Protein of unknown function (DUF1285)
DUF1284	Protein of unknown function (DUF1284)
DUF1283	Protein of unknown function (DUF1283)
DUF1282	Protein of unknown function (DUF1282)
DUF1281	Protein of unknown function (DUF1281)
DUF1280	Protein of unknown function (DUF1280)
IFNGR1	Interferon gamma receptor (IFNGR1)
DSHCT	DSHCT (NUC185) domain
PTPA	Phosphotyrosyl phosphate activator (PTPA) protein
Whi5	Whi5 like
DUF1254	Protein of unknown function (DUF1254)
PetG	Cytochrome B6-F complex subunit 5
WhiA	Sporulation Regulator WhiA N terminal
GFRP	GTP cyclohydrolase I feedback regulatory protein (GFRP)
ZPR1	ZPR1 zinc-finger domain
FctA	T surface-antigen of pili
S19	Chorion protein S19 C-terminal
TORC	Transducer of regulated CREB activity, C terminus|Transducer of regulated CREB activity, N terminus
DUF669	Protein of unknown function (DUF669)
DUF668	Protein of unknown function (DUF668)
DUF663	Protein of unknown function (DUF663)
PqiA	Paraquat-inducible protein A
DUF664	Protein of unknown function (DUF664)
DUF667	Protein of unknown function (DUF667)
DUF666	Protein of unknown function (DUF666)
DUF2228	Uncharacterised conserved protein (DUF2228)
DUF2229	CoA enzyme activase uncharacterised domain (DUF2229)
DUF2220	Uncharacterized protein conserved in bacteria C-term(DUF2220)
DUF2222	Uncharacterized signal transduction histidine kinase domain (DUF2222)
DUF2223	Domain of unknown function (DUF2223)
DUF2225	Uncharacterized protein conserved in bacteria (DUF2225)
DUF2226	Uncharacterized protein conserved in archaea (DUF2226)
DUF2227	Uncharacterized metal-binding protein (DUF2227)
PgpA	Phosphatidylglycerophosphatase A
NUP50	NUP50 (Nucleoporin 50 kDa)
Tbf5	Transcription factor TFIIH complex subunit Tfb5
PSP94	Beta-microseminoprotein (PSP-94)
INSIG	Insulin-induced protein (INSIG)
TelA	Toxic anion resistance protein (TelA)
DUF2737	Protein of unknown function (DUF2737)
DUF2735	Protein of unknown function (DUF2735)
DUF2732	Protein of unknown function (DUF2732)
DUF2733	Protein of unknown function (DUF2733)
DUF2730	Protein of unknown function (DUF2730)
DUF2731	Protein of unknown function (DUF2731)
NUMOD4	NUMOD4 motif
NUMOD1	NUMOD1 domain
DUF2738	Protein of unknown function (DUF2738)
DUF3177	Protein of unknown function (DUF3177)
DUF3176	Protein of unknown function (DUF3176)
DUF3175	Protein of unknown function (DUF3175)
DUF3173	Domain of unknown function (DUF3173)
DUF3172	Protein of unknown function (DUF3172)
HPP	HPP family
DUF3179	Protein of unknown function (DUF3179)
MxiH	Type III secretion needle MxiH like
MxiM	Pilot protein MxiM
TACC	Transforming acidic coiled-coil-containing protein (TACC)
UPF0261	Uncharacterised protein family (UPF0261)
RAP1	Rhoptry-associated protein 1 (RAP-1)
SSXT	SSXT protein (N-terminal region)
CemA	CemA family
AflR	Aflatoxin regulatory protein
DUF3941	Domain of unknown function (DUF3941)
UIM	Ubiquitin interaction motif
OHA	OST-HTH Associated domain
YsaB	YsaB-like lipoprotein
DDRGK	DDRGK domain
KRAB	KRAB box
DUF4194	Domain of unknown function (DUF4194)
DUF4195	Domain of unknown function (DUF4195)
DUF4196	Domain of unknown function (DUF4196)
DUF4197	Protein of unknown function (DUF4197)
DUF4190	Domain of unknown function (DUF4190)
DUF4191	Domain of unknown function (DUF4191)
DUF4192	Domain of unknown function (DUF4192)
DUF4193	Domain of unknown function (DUF4193)
DUF4198	Domain of unknown function (DUF4198)
DUF4199	Protein of unknown function (DUF4199)
HMGL	HMGL-like
DUF1708	Domain of unknown function (DUF1708)
DuffyBP	Duffy binding protein N terminal 
DUF1878	Protein of unknown function (DUF1878)
DUF1879	Domain of unknown function (DUF1879)
DUF1702	Protein of unknown function (DUF1702)
DUF1703	Protein of unknown function (DUF1703)
DUF1700	Protein of unknown function (DUF1700)
DUF1877	Domain of unknown function (DUF1877)
DUF1706	Protein of unknown function (DUF1706)   
DUF1707	Domain of unknown function (DUF1707)
DUF1704	Domain of unknown function (DUF1704)
DUF1705	Domain of unknown function (DUF1705)
Nsp1	Non structural protein Nsp1|Nsp1-like C-terminal region
Nsp3	Replicase polyprotein 1ab
HK	Hydroxyethylthiazole kinase family
DotA	Phagosome trafficking protein DotA
HN	Haemagglutinin-neuraminidase
HA	Helicase associated domain
HD	HD domain
PB1	PB1 domain
ASD1	Apx/Shroom domain ASD1
ASD2	Apx/Shroom domain ASD2
SCF	Stem cell factor
PWWP	PWWP domain
ACOX	Acyl-CoA oxidase
Tfb2	Transcription factor Tfb2
Tfb4	Transcription factor Tfb4
Ag332	Erythrocyte membrane-associated giant protein antigen 332 
Rtt106	Histone chaperone Rttp106-like
PBP	Phosphatidylethanolamine-binding protein
DUF1874	Domain of unknown function (DUF1874)
PadR	Transcriptional regulator PadR-like family
DUF478	Protein of unknown function (DUF478)
DUF479	Protein of unknown function, DUF479
PBC	PBC domain
DUF1875	Domain of unknown function (DUF1875)
DUF475	Protein of unknown function (DUF475)
DUF1876	Domain of unknown function (DUF1876)
DUF473	Protein of unknown function (DUF473)
DUF1870	Domain of unknown function (DUF1870)
DUF1871	Domain of unknown function (DUF1871)
DUF1872	Domain of unknown function (DUF1872)
DUF1873	Domain of unknown function (DUF1873)
CPSF100	Cleavage and polyadenylation factor 2 C-terminal
DUF2325	Uncharacterized protein conserved in bacteria (DUF2325)
DUF2324	Putative membrane peptidase family (DUF2324)
HupH	HupH hydrogenase expression protein, C-terminal conserved region
BACON	Bacteroidetes-Associated Carbohydrate-binding Often N-terminal
DUF2326	Uncharacterized protein conserved in bacteria (DUF2326)
DUF2321	Uncharacterized protein conserved in bacteria (DUF2321)
DUF839	Bacterial protein of unknown function (DUF839)
CcdB	CcdB protein
cEGF	Complement Clr-like EGF-like
DUF3542	Protein of unknown function (DUF3542)
ADC	Acetoacetate decarboxylase (ADC)
DUF3235	Protein of unknown function (DUF3235)
ADK	Adenylate kinase
ADH	Alcohol dehydrogenase GroES-like domain
DUF3237	Protein of unknown function (DUF3237)
DUF2039	Uncharacterized conserved protein (DUF2039)
BRX	Transcription factor regulating root and shoot growth via Pin3|Transcription factor BRX N-terminal domain
DUF2034	Protein of unknown function (DUF2034)
DUF2036	Uncharacterized conserved protein (DUF2036)
DUF2031	Protein of unknown function (DUF2031)
BRK	BRK domain
DUF3544	Domain of unknown function (DUF3544)
BRE	Brain and reproductive organ-expressed protein (BRE)
DUF3233	Protein of unknown function (DUF3233)
CYSTM	Cysteine-rich TM module stress tolerance
UPF0079	Uncharacterised P-loop hydrolase UPF0079
UPF0075	Uncharacterised protein family (UPF0075)
LTV	Low temperature viability protein 
YdjC	YdjC-like protein
NrfD	Polysulphide reductase, NrfD
BmKX	BmKX
DUF2691	Protein of unknown function (DUF2691)
DUF2690	Protein of unknown function (DUF2690)
DUF2693	Protein of unknown function (DUF2693)
Rsm1	Rsm1-like
DUF2695	Protein of unknown function (DUF2695)
DUF2694	Protein of unknown function (DUF2694)
DUF2697	Protein of unknown function (DUF2697)
DUF2699	Protein of unknown function (DUF2699)
DUF3618	Protein of unknown function (DUF3618)
DUF3619	Protein of unknown function (DUF3619)
DUF3348	Protein of unknown function (DUF3348)
DUF3349	Protein of unknown function (DUF3349)
EMG1	EMG1/NEP1 methyltransferase
